candidate,i,we,you,iwerat,weyourat,iyourat
Donald Trump,1349,579,714,2.329879102,0.81092437,1.889355742
Ben Carson,324,363,332,0.892561983,1.093373494,0.975903614
Jeb Bush,515,533,247,0.966228893,2.157894737,2.085020243
Marco Rubio,551,496,398,1.110887097,1.246231156,1.384422111
Ted Cruz,511,402,415,1.271144279,0.968674699,1.231325301
Rand Paul,230,209,105,1.100478469,1.99047619,2.19047619
Chris Christie,245,230,227,1.065217391,1.013215859,1.079295154
John Kasich,538,591,430,0.910321489,1.374418605,1.251162791
Hillary Clinton,1755,937,618,1.872998933,1.51618123,2.839805825
Bernie Sanders,1303,957,492,1.361546499,1.945121951,2.648373984
Martin O'Malley,318,447,142,0.711409396,3.147887324,2.23943662